quant_trading_engine  | 2026-03-23 13:17:57 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал SOL/USDT Williams R ПРОПУЩЕН: устарел на 4677с
quant_trading_engine  | 2026-03-23 13:17:57 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для DOT/USDT (4h)
quant_trading_engine  | 2026-03-23 13:17:57 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [SOL/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:17:57 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LTC/USDT (1m)
quant_trading_engine  | 2026-03-23 13:17:58 | INFO     | services.signal_engine.engine:_process_ohlcv:224 - 💤 [BNB/USDT] Тренд слишком слабый (ADX 15m=17.59 < 20). Пропускаю Pullback
quant_trading_engine  | 2026-03-23 13:17:58 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LTC/USDT (5m)
quant_trading_engine  | 2026-03-23 13:17:58 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LTC/USDT (15m)
quant_trading_engine  | 2026-03-23 13:17:59 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BNB/USDT Momentum ATR ПРОПУЩЕН: устарел на 179с
quant_trading_engine  | 2026-03-23 13:17:59 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BNB/USDT Williams R ПРОПУЩЕН: устарел на 179с
quant_trading_engine  | 2026-03-23 13:17:59 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LTC/USDT (1h)
quant_trading_engine  | 2026-03-23 13:17:59 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для LTC/USDT (4h)
quant_trading_engine  | 2026-03-23 13:18:00 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BCH/USDT (1m)
quant_trading_engine  | 2026-03-23 13:18:00 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BCH/USDT (5m)
quant_trading_engine  | 2026-03-23 13:18:01 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [SOL/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:18:01 | INFO     | services.signal_engine.engine:_process_ohlcv:292 - 💤 [BNB/USDT] Regime Detection: Низкая волатильность (рынок спит)
quant_trading_engine  | 2026-03-23 13:18:02 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BNB/USDT Pullback ПРОПУЩЕН: устарел на 1082с
quant_trading_engine  | 2026-03-23 13:18:02 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BNB/USDT Range Expansion ПРОПУЩЕН: устарел на 1082с
quant_trading_engine  | 2026-03-23 13:18:02 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал BNB/USDT Opening Range ПРОПУЩЕН: устарел на 4682с
quant_trading_engine  | 2026-03-23 13:18:02 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BCH/USDT (15m)
quant_trading_engine  | 2026-03-23 13:18:02 | INFO     | api.rest.main:get_active_trades:449 - 📊 [DEBUG] Запрос цен для: ['SOL/USDT']
quant_trading_engine  | 2026-03-23 13:18:02 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BCH/USDT (1h)
quant_trading_engine  | 2026-03-23 13:18:03 | INFO     | services.signal_engine.engine:_process_ohlcv:224 - 💤 [XRP/USDT] Тренд слишком слабый (ADX 15m=13.56 < 20). Пропускаю Momentum ATR
quant_trading_engine  | 2026-03-23 13:18:03 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для BCH/USDT (4h)
quant_trading_engine  | 2026-03-23 13:18:03 | INFO     | api.rest.main:get_active_trades:452 - 📊 [DEBUG] Получено тикеров: ['SOL/USDT:USDT']
quant_trading_engine  | INFO:     149.154.166.110:20684 - "GET /api/v1/trades HTTP/1.1" 200 OK
quant_trading_engine  | 2026-03-23 13:18:03 | INFO     | services.signal_engine.engine:_process_ohlcv:224 - 💤 [XRP/USDT] Тренд слишком слабый (ADX 15m=13.56 < 20). Пропускаю Momentum ATR
quant_trading_engine  | 2026-03-23 13:18:04 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал XRP/USDT Opening Range ПРОПУЩЕН: устарел на 184с
quant_trading_engine  | 2026-03-23 13:18:04 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал XRP/USDT Williams R ПРОПУЩЕН: устарел на 184с
quant_trading_engine  | 2026-03-23 13:18:05 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал XRP/USDT Momentum ATR ПРОПУЩЕН: устарел на 185с
quant_trading_engine  | 2026-03-23 13:18:05 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для UNI/USDT (1m)
quant_trading_engine  | 2026-03-23 13:18:05 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для UNI/USDT (5m)
quant_trading_engine  | 2026-03-23 13:18:05 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для UNI/USDT (15m)
quant_trading_engine  | 2026-03-23 13:18:07 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для UNI/USDT (1h)
quant_trading_engine  | 2026-03-23 13:18:07 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для UNI/USDT (4h)
quant_trading_engine  | 2026-03-23 13:18:09 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал XRP/USDT Range Expansion ПРОПУЩЕН: устарел на 4689с
quant_trading_engine  | 2026-03-23 13:18:09 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал XRP/USDT Williams R ПРОПУЩЕН: устарел на 4689с
quant_trading_engine  | 2026-03-23 13:18:09 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для NEAR/USDT (1m)
quant_trading_engine  | 2026-03-23 13:18:09 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для NEAR/USDT (5m)
quant_trading_engine  | 2026-03-23 13:18:11 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для NEAR/USDT (15m)
quant_trading_engine  | 2026-03-23 13:18:11 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для NEAR/USDT (1h)
quant_trading_engine  | 2026-03-23 13:18:11 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для NEAR/USDT (4h)
quant_trading_engine  | 2026-03-23 13:18:13 | WARNING  | services.signal_engine.engine:_process_ohlcv:249 - ⚠️ Сигнал DOGE/USDT Opening Range ПРОПУЩЕН: устарел на 193с
quant_trading_engine  | 2026-03-23 13:18:13 | INFO     | services.market_data.market_streamer:watch_ohlcv:47 - Начало отслеживания OHLCV для FIL/USDT (1m)
