Монета,ТФ,Стратегия,Сделок,Win Rate,Profit USD,Max DD %,Sharpe,PF
LTC/USDT,4h,StrategyWRD,2,0.0,-270.19,2.7,-5.5513,0.0
AVAX/USDT,4h,StrategyMATrend,1,0.0,-273.67,2.74,-273667600263.5044,0.0
ADA/USDT,1h,StrategyWRD,22,54.55,-279.21,3.73,-0.1493,0.6065
DOT/USDT,1h,StrategyMATrend,2,0.0,-281.95,2.82,-6.1715,0.0
AVAX/USDT,15m,StrategyWRD,123,60.980000000000004,-282.36,7.62,-0.0458,0.5791
LTC/USDT,4h,StrategyRuleOf7,2,0.0,-285.5,2.86,-8.5579,0.0
LTC/USDT,1h,StrategyWRD,17,47.06,-296.49,3.34,-0.2737,0.6266
BTC/USDT,15m,StrategyWRD,125,57.599999999999994,-301.96,7.35,-0.0697,0.6297
ETH/USDT,15m,StrategyDonchian,149,58.39,-308.19,8.94,-0.0458,0.6431
DOGE/USDT,15m,StrategyWRD,143,60.84,-313.15,11.58,-0.0491,0.5763
NEAR/USDT,15m,StrategyFakeout,4,0.0,-318.84,3.19,-6.5484,0.0
DOT/USDT,1h,StrategyWRD,22,59.089999999999996,-323.39,7.18,-0.1417,0.5055
SOL/USDT,15m,StrategyDonchian,127,60.629999999999995,-331.83,7.39,-0.0554,0.5741
DOGE/USDT,4h,StrategyWRD,2,0.0,-347.9,3.48,-15.4691,0.0
LTC/USDT,15m,StrategyRuleOf7,103,60.19,-349.84,4.58,-0.0968,0.5315
DOGE/USDT,15m,StrategyMATrend,11,36.36,-353.08,3.96,-0.7848,0.3193
SOL/USDT,4h,StrategyDonchian,2,0.0,-367.87,3.68,-29.6027,0.0
ETH/USDT,1h,StrategyDonchian,28,60.709999999999994,-371.29,4.42,-0.1675,0.4447
NEAR/USDT,4h,StrategyRuleOf7,6,50.0,-395.45,4.73,-0.3787,0.4493
ADA/USDT,1h,StrategyDonchian,20,50.0,-400.53,7.13,-0.2196,0.6314
SOL/USDT,1h,StrategyDonchian,27,51.849999999999994,-407.66,8.43,-0.172,0.6431
DOT/USDT,4h,StrategyRuleOf7,2,0.0,-438.47,4.38,-10.3279,0.0
ADA/USDT,1h,StrategyRuleOf7,24,50.0,-441.94,7.16,-0.2093,0.6429
ADA/USDT,15m,StrategyDonchian,135,60.0,-443.27,8.09,-0.0691,0.5726
ADA/USDT,4h,StrategyWRD,2,0.0,-445.58,4.46,-103.6688,0.0
BNB/USDT,15m,StrategyRuleOf7,106,61.31999999999999,-447.07,5.86,-0.1467,0.4515
LTC/USDT,1h,StrategyRuleOf7,21,47.620000000000005,-455.32,4.92,-0.3451,0.5287
XRP/USDT,1h,StrategyWRD,21,47.620000000000005,-468.35,6.51,-0.291,0.5912
ADA/USDT,15m,StrategyRuleOf7,129,59.69,-474.85,8.22,-0.0775,0.5683
AVAX/USDT,1h,StrategyRuleOf7,23,52.17,-492.54,6.9,-0.2283,0.5647
AVAX/USDT,15m,StrategyDonchian,125,58.4,-526.46,9.25,-0.0833,0.5937
LTC/USDT,1h,StrategyDonchian,22,45.45,-530.41,5.67,-0.3868,0.5311
SOL/USDT,1h,StrategyWRD,28,50.0,-551.12,6.94,-0.2352,0.6039
BTC/USDT,15m,StrategyRuleOf7,125,56.8,-561.03,7.63,-0.1306,0.5664
DOGE/USDT,1h,StrategyRuleOf7,26,46.150000000000006,-583.24,9.42,-0.2654,0.6579
LINK/USDT,4h,StrategyDonchian,3,0.0,-595.47,5.95,-16.3059,0.0
NEAR/USDT,15m,StrategyDonchian,123,58.540000000000006,-595.86,10.66,-0.0809,0.5888
DOT/USDT,15m,StrategyDonchian,117,54.7,-596.62,14.29,-0.0839,0.6855
NEAR/USDT,15m,StrategyRuleOf7,128,61.72,-619.48,11.09,-0.0827,0.5129
AVAX/USDT,1h,StrategyWRD,23,52.17,-631.56,6.82,-0.2912,0.4906
AVAX/USDT,4h,StrategyDonchian,3,0.0,-634.08,6.34,-21.0102,0.0
XRP/USDT,1h,StrategyRuleOf7,25,44.0,-655.9,7.62,-0.3495,0.6065
BNB/USDT,15m,StrategyDonchian,116,57.76,-660.0,7.87,-0.2022,0.4623
DOT/USDT,15m,StrategyWRD,95,49.47,-664.06,12.98,-0.1214,0.7786
BNB/USDT,15m,StrategyWRD,121,56.2,-669.49,7.96,-0.1918,0.5059
ETH/USDT,15m,StrategyRuleOf7,150,57.330000000000005,-678.3,10.69,-0.1012,0.5921
DOGE/USDT,1h,StrategyDonchian,22,40.910000000000004,-729.47,8.02,-0.3859,0.629
AVAX/USDT,15m,StrategyRuleOf7,132,56.82000000000001,-734.09,10.41,-0.11,0.5982
XRP/USDT,1h,StrategyDonchian,26,42.309999999999995,-742.25,8.48,-0.3822,0.6074
BTC/USDT,15m,StrategyDonchian,132,56.06,-769.86,9.64,-0.1691,0.5328
XRP/USDT,15m,StrategyWRD,128,54.690000000000005,-800.16,10.46,-0.1581,0.5813
LINK/USDT,4h,StrategyWRD,4,0.0,-811.05,8.11,-7.0458,0.0
LINK/USDT,1h,StrategyDonchian,23,39.129999999999995,-836.51,9.51,-0.4545,0.6083
XRP/USDT,15m,StrategyRuleOf7,120,53.33,-859.76,11.44,-0.1769,0.5901
LINK/USDT,1h,StrategyRuleOf7,26,42.309999999999995,-893.76,9.8,-0.4086,0.5802
SOL/USDT,15m,StrategyWRD,122,56.56,-957.21,11.42,-0.1616,0.5328
SOL/USDT,4h,StrategyRuleOf7,5,0.0,-968.87,9.69,-4.8706,0.0
LINK/USDT,4h,StrategyRuleOf7,5,0.0,-988.28,9.88,-7.4325,0.0
SOL/USDT,4h,StrategyWRD,5,0.0,-1025.64,10.26,-6.254,0.0
AVAX/USDT,4h,StrategyWRD,5,0.0,-1100.83,11.01,-9.341,0.0
XRP/USDT,15m,StrategyDonchian,129,51.94,-1108.69,12.21,-0.2217,0.562
LINK/USDT,1h,StrategyWRD,23,26.090000000000003,-1404.7,14.05,-0.8175,0.5692
AVAX/USDT,4h,StrategyRuleOf7,7,0.0,-1496.29,14.96,-9.0082,0.0
